Kategorie: Alle Kategorien

Monat,Agisoft: (Weltweit),Meshroom: (Weltweit),RealityCapture: (Weltweit)
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,0
2004-06,0,0,0
2004-07,0,31,0
2004-08,0,0,0
2004-09,0,0,0
2004-10,0,0,0
2004-11,0,27,0
2004-12,0,0,0
2005-01,0,0,22
2005-02,0,0,0
2005-03,0,0,0
2005-04,22,0,0
2005-05,0,0,0
2005-06,0,0,0
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,0,0,0
2005-11,16,0,0
2005-12,0,0,0
2006-01,0,0,0
2006-02,14,0,0
2006-03,0,0,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,0,0
2006-07,0,0,0
2006-08,0,0,12
2006-09,0,0,0
2006-10,0,0,0
2006-11,0,0,0
2006-12,0,0,0
2007-01,9,9,0
2007-02,9,0,0
2007-03,0,0,0
2007-04,8,0,0
2007-05,0,0,0
2007-06,8,0,0
2007-07,0,0,0
2007-08,0,0,0
2007-09,0,0,0
2007-10,0,0,0
2007-11,6,6,0
2007-12,0,0,0
2008-01,0,0,0
2008-02,0,0,0
2008-03,0,0,0
2008-04,5,0,5
2008-05,0,0,5
2008-06,0,0,5
2008-07,0,0,0
2008-08,0,0,0
2008-09,0,0,0
2008-10,0,0,0
2008-11,0,5,5
2008-12,0,0,0
2009-01,0,0,0
2009-02,9,0,0
2009-03,0,4,0
2009-04,4,0,4
2009-05,0,0,4
2009-06,0,0,4
2009-07,4,0,0
2009-08,4,0,0
2009-09,0,0,7
2009-10,3,0,0
2009-11,0,3,0
2009-12,7,0,0
2010-01,0,3,0
2010-02,0,0,3
2010-03,3,3,3
2010-04,0,0,3
2010-05,3,0,3
2010-06,0,0,3
2010-07,0,0,3
2010-08,0,3,0
2010-09,3,5,5
2010-10,5,0,3
2010-11,8,3,0
2010-12,5,3,0
2011-01,2,0,2
2011-02,0,2,2
2011-03,4,0,0
2011-04,5,5,0
2011-05,9,0,2
2011-06,5,0,2
2011-07,9,0,0
2011-08,20,2,0
2011-09,8,4,2
2011-10,8,0,4
2011-11,10,4,0
2011-12,6,0,2
2012-01,7,0,2
2012-02,11,2,2
2012-03,16,0,2
2012-04,9,0,7
2012-05,9,0,0
2012-06,11,0,2
2012-07,30,2,0
2012-08,12,0,0
2012-09,14,2,2
2012-10,21,2,0
2012-11,82,2,0
2012-12,25,0,0
2013-01,22,1,1
2013-02,51,0,3
2013-03,25,0,0
2013-04,16,3,1
2013-05,21,0,1
2013-06,31,0,0
2013-07,14,0,3
2013-08,31,4,3
2013-09,24,4,4
2013-10,28,1,1
2013-11,38,0,3
2013-12,31,1,1
2014-01,31,0,4
2014-02,36,0,1
2014-03,50,2,2
2014-04,42,3,0
2014-05,53,0,4
2014-06,57,1,1
2014-07,44,1,1
2014-08,50,1,1
2014-09,34,0,4
2014-10,68,0,1
2014-11,57,0,6
2014-12,46,1,3
2015-01,44,1,1
2015-02,66,4,1
2015-03,65,3,2
2015-04,80,1,2
2015-05,55,1,4
2015-06,57,2,1
2015-07,43,1,1
2015-08,56,0,2
2015-09,65,2,3
2015-10,65,3,2
2015-11,70,1,7
2015-12,71,2,4
2016-01,69,2,7
2016-02,75,1,6
2016-03,73,1,10
2016-04,73,1,15
2016-05,76,2,8
2016-06,69,2,16
2016-07,47,2,10
2016-08,67,1,12
2016-09,81,1,8
2016-10,60,1,15
2016-11,81,1,20
2016-12,60,1,12
2017-01,65,1,17
2017-02,91,0,21
2017-03,90,2,18
2017-04,93,2,18
2017-05,82,1,12
2017-06,71,3,16
2017-07,81,0,18
2017-08,79,2,17
2017-09,77,1,23
2017-10,89,0,24
2017-11,86,2,25
2017-12,81,1,19
2018-01,84,3,23
2018-02,100,1,24
2018-03,94,1,23
2018-04,99,3,28
2018-05,79,2,19
2018-06,80,1,22
2018-07,71,1,25
2018-08,81,13,24
2018-09,64,23,23
2018-10,82,18,15
2018-11,76,24,22
2018-12,61,47,16
2019-01,75,24,25
2019-02,81,20,15
2019-03,81,28,25
2019-04,84,35,14
2019-05,67,26,19
2019-06,68,28,22
2019-07,61,35,22
2019-08,79,43,29
2019-09,72,37,23
2019-10,81,33,26
2019-11,81,45,28
2019-12,63,41,22
2020-01,68,41,22
2020-02,85,40,29
2020-03,59,37,19
2020-04,57,50,29
2020-05,54,44,22
2020-06,70,32,28
2020-07,60,28,28
2020-08,50,37,25
2020-09,66,56,40
2020-10,57,30,34
2020-11,68,32,19
2020-12,47,31,27
2021-01,52,44,21
2021-02,50,31,18
2021-03,53,33,29
2021-04,54,27,32
2021-05,53,35,32
2021-06,53,28,20
2021-07,47,19,29
2021-08,39,24,22
2021-09,59,31,29
2021-10,52,38,29
2021-11,59,27,18
